,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
20,Null,Владимир Меньшов,СССР,"«The Funniest, Tenderest Love Story of the Year»",Null,Null,"Русский, Русский 5.1",Виталий Богуславский,Игорь Слабневич,"11 февраля 1980, ...","Саид Меняльщиков, Жанна Мелконян",Валентин Черных,Null,"1 ноября 2011, «Парадиз»",Елена Михайлова,$2 500 000,Null,84.4 млн,"мелодрама, драма, комедия","11 января 2011, «Парадиз»",PG,Null,Сергей Никитин,Null,150 мин. / 02:30,16+,1979,Нет,Null,+ $16 245 = $2 516 245,$900 000,$17 002,"['Москва слезам не верит (1979)', '16+']"
21,Null,Александр Серый,СССР,—,Null,Null,Русский,Александра Демидова,Георгий Куприянов,"13 декабря 1971, ...","Борис Немечек, Валентин Перелётов, Элеонора Немечек","Георгий Данелия, Виктория Токарева",Null,"13 марта 2012, «Парадиз»",М. Ренкова,Null,Null,65 млн,"комедия, драма, криминал, детектив","11 января 2011, «Парадиз»",Null,Null,Геннадий Гладков,Null,84 мин. / 01:24,6+,1971,Нет,Null,$10 560 943,Null,Null,"['Джентльмены удачи (1971)', '6+']"
22,Null,"Эндрю Адамсон, Вики Дженсон",США,«Its Big!»,$45 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"22 апреля 2001, ...","Джеймс Хегедус, Гийом Аретос, Шон Маллен, ...","Тед Эллиот, Терри Россио, Джо Стиллман, ...","31 октября 2001, «Ист-Вест»","21 декабря 2010, «Юниверсал Пикчерс Рус»",Сим Эван-Джонс,$267 665 011,Null,47.3 млн,"мультфильм, фэнтези, мелодрама, комедия, приключения, семейный","8 октября 2002, «Premier Digital»",PG,"Джеффри Катценберг, Арон Уорнер, Джон Х. Уильямс, ...","Гарри Грегсон-Уильямс, Джон Пауэлл",Null,90 мин. / 01:30,12+,2001,Русские,Null,+ $216 744 207 = $484 409 218,$60 000 000,$1 070 302,"['Шрэк (2001)', 'Shrek12+']"
23,Null,Томас Ян,Германия,"«Быстрый автомобиль, миллион марок в багажнике, и всего одна неделя жить»",Null,Null,"Русский, Немецкий, Немецкий 5.1",Null,Геро Штеффен,"20 февраля 1997, ...","Моника Бауэрт, Хайке Вебер","Тиль Швайгер, Томас Ян","1 ноября 1997, «ОРТ»",Null,Александр Бернер,$5 710,Null,3.2 млн,"драма, комедия, криминал","28 февраля 2008, «CP-Digital»",Null,"Андре Хеннике, Тиль Швайгер, Вольфганг Браун, ...","Кристиан Неандер, Франц Пласа, Жан Плевка",Null,87 мин. / 01:27,18+,1997,Русские,"9 июня 2022, «Capella Film»",+ $207 130 = $212 840,DEM 4 300 000,Null,"['Достучаться до небес (1997)', ""Knockin' on Heaven's Door18+""]"
24,Null,Гор Вербински,США,«Over 3000 islands of paradise. For some it’s a blessing. For others… It’s A Curse»,$40 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дариуш Вольски,"28 июня 2003, ...","Брайан Моррис, Дерек Р. Хилл, Майкл Пауэлс, ...","Тед Эллиот, Терри Россио, Стюарт Битти, ...","20 августа 2003, «Каскад фильм»","1 октября 2009, «Уолт Дисней Компани СНГ»","Стивен Е. Ривкин, Артур Шмидт, Крэйг Вуд",$305 413 918,Null,50.6 млн,"фэнтези, боевик, приключения","26 апреля 2011, «Уолт Дисней Компани СНГ»",PG-13,"Джерри Брукхаймер, Пол Дисон, Брюс Хендрикс, ...",Клаус Бадельт,Null,143 мин. / 02:23,12+,2003,"Русские, Английские",Null,+ $348 850 097 = $654 264 015,$140 000 000,$9 060 000,"['Пираты Карибского моря: Проклятие Черной жемчужины (2003)', 'Pirates of the Caribbean: The Curse of the Black Pearl12+']"
25,Null,Кристофер Нолан,"США, Великобритания",«Твой разум - место преступления»,Null,Null,Null,Null,Уолли Пфистер,"8 июля 2010, ...","Гай Диас, Люк Фриборн, Мэттью Грэй, ...",Кристофер Нолан,"22 июля 2010, «Каро-Премьер»","7 декабря 2010, «Юниверсал Пикчерс Рус»",Ли Смит,$292 576 195,Null,37.1 млн,"фантастика, боевик, триллер, драма, детектив","7 декабря 2010, «Юниверсал Пикчерс Рус»",PG-13,"Кристофер Нолан, Эмма Томас, Закария Алауи, ...",Ханс Циммер,Null,148 мин. / 02:28,12+,2010,Null,"13 августа 2020, «Каро-Премьер»",+ $535 745 837 = $828 322 032,$160 000 000,$66 113,"['Начало (2010)', 'Inception12+']"
26,Null,Мартин Скорсезе,США,«Some places never let you go»,Null,Null,"Русский, Русский 5.1, Английский",Null,Роберт Ричардсон,"13 февраля 2010, ...","Данте Ферретти, Макс Биско, Роберт Гуерра, ...","Лаэта Калогридис, Деннис Лихейн","18 февраля 2010, «Каскад фильм»","25 марта 2010, «Союз-Видео»",Тельма Скунмейкер,$128 012 934,Null,16.2 млн,"триллер, детектив, драма","25 марта 2010, «Союз-Видео»",R,"Брэдли Дж. Фишер, Майк Медавой, Мартин Скорсезе, ...",—,Null,138 мин. / 02:18,18+,2009,Русские,"14 августа 2021, «Capella Film»",+ $166 791 261 = $294 804 195,$80 000 000,$5 430 049,"['Остров проклятых (2009)', 'Shutter Island18+']"
27,Null,Станислав Ростоцкий,СССР,—,Null,Null,Русский,Григорий Рималис,Вячеслав Шумский,"27 августа 1972, ...","Сергей Серебренников, Эльза Рапопорт","Станислав Ростоцкий, Борис Васильев",Null,Null,Валентина Миронова,Null,Null,66 млн,"драма, военный, история","29 февраля 2008, «Монолит»",PG-13,Null,Кирилл Молчанов,Null,160 мин. / 02:40,12+,1972,Нет,Null,Null,Null,Null,"['...А зори здесь тихие (1972)', '12+']"
28,Null,Сергей Бондарчук,СССР,—,Null,Null,Русский,Игорь Лазаренко,Вадим Юсов,"12 мая 1975, ...","Феликс Ясюкевич, Надежда Бузина","Сергей Бондарчук, Михаил Шолохов",Null,Null,Елена Михайлова,Null,Null,40.6 млн,"драма, военный","4 мая 2005, «Ruscico»",Null,Null,Вячеслав Овчинников,Null,160 мин. / 02:40,12+,1975,Нет,Null,Null,Null,Null,"['Они сражались за Родину (1975)', '12+']"
29,Null,Гай Ричи,"Великобритания, США",«Stealing stones is hazardous»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Тим Морис-Джонс,"1 сентября 2000, ...","Хуго Луцык-Выховский, Джули Филпотт, Верити Хоукс, ...",Гай Ричи,"10 мая 2001, «Каскад фильм»","29 октября 2009, «Columbia/Sony»",Джон Харрис,$30 328 156,Null,5.6 млн,"криминал, комедия, боевик","30 августа 2001, «Columbia/Sony»",R,"Мэттью Вон, Майкл Дрейер, Стефен Маркс, ...",Джон Мерфи,Null,104 мин. / 01:44,16+,2000,"Русские, Перевод надписей, Английские",Null,+ $53 229 716 = $83 557 872,$10 000 000,Null,"['Большой куш (2000)', 'Snatch16+']"
