,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
124,Null,Александр Котт,"Беларусь, Россия","«Я умираю, но не сдаюсь!»",Null,Null,"Русский, Русский 5.1",Null,Владимир Башта,"22 июня 2010, ...","Алим Матвейчук, Сергей Стручев","Владимир Еремин, Алексей Дударев, Константин Воробьев, ...","4 ноября 2010, «Централ Партнершип»","8 февраля 2011, «Флагман-Трейд»",Мария Сергеенкова,Null,Null,140.4 тыс,"военный, боевик, драма, история","7 декабря 2010, «Флагман-Трейд»",Null,"Игорь Угольников, Рубен Дишдишян, Владимир Заметалин, ...",Юрий Красавин,Null,131 мин. / 02:11,16+,2010,Нет,"5 мая 2022, «Наше Кино»",$4 569 371,₽ 253 000 000,$4 404 729,"['Брестская крепость (2010)', '16+']"
125,Null,"Эрик Дарнелл, Том МакГрат",США,«Они не были рождены в дикой местности... Их перевезли туда...»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"25 мая 2005, ...","Кендал Кронкхайт, Шеннон Джеффрис","Марк Бертон, Билли Фролик, Эрик Дарнелл, ...","2 июня 2005, «UIP»","24 марта 2009, «Юниверсал Пикчерс Рус»","Марк А. Хестер, Клэр Найт, Х. Ли Петерсон",$193 595 521,Null,30.3 млн,"мультфильм, комедия, приключения, семейный","30 ноября 2010, «Юниверсал Пикчерс Рус»",PG,"Мирей Сория, Тереза Чэн",Ханс Циммер,Null,86 мин. / 01:26,6+,2005,Русские,Null,+ $348 468 325 = $542 063 846,$75 000 000,$7 590 000,"['Мадагаскар (2005)', 'Madagascar6+']"
126,Null,Марк Осборн,"Франция, Канада, Италия, США, Китай",«Rediscover one of the most beloved stories of all time»,Null,Null,"Русский, Английский",Null,Null,"22 мая 2015, ...","Селин Десрумо, Лу Романо","Ирена Бригналл, Боб Персичетти, Антуан де Сент-Экзюпери","24 декабря 2015, «Вольга»",Null,"Кэрол Кравец, Мэтт Лэндон",$1 339 152,"28 января 2016, «Вольга»",Null,"мультфильм, фэнтези, драма, приключения, семейный",Null,PG,"Дмитрий Рассам, Атон Сумаш, Алексис Вонарб, ...","Ричард Харви, Ханс Циммер",Null,108 мин. / 01:48,6+,2015,Русские,Null,+ $96 232 098 = $97 571 250,$81 200 000,$2 985 642,"['Маленький принц (2015)', 'Le Petit Prince6+']"
127,Null,Питер Джексон,"Новая Зеландия, США",«Beyond darkness... beyond desolation... lies the greatest danger of all»,Null,Null,"Русский, Английский",Null,Эндрю Лесни,"2 декабря 2013, ...","Дэн Хенна, Саймон Брайт, Энди МакЛарен, ...","Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...","18 декабря 2013, «Каро-Премьер»","17 апреля 2014, «CP Дистрибуция»",Джабез Олссен,$258 366 855,Null,11.2 млн,"фэнтези, приключения, боевик","17 апреля 2014, «CP Дистрибуция»",PG-13,"Кэролинн Каннингэм, Питер Джексон, Eric Monette, ...",Говард Шор,Null,161 мин. / 02:41,12+,2013,"Русские, Перевод надписей, Английские",Null,+ $700 000 000 = $958 366 855,$225 000 000,$44 946 959,"['Хоббит: Пустошь Смауга (2013)', 'The Hobbit: The Desolation of Smaug12+']"
128,Null,"Гарт Дженнингс, Кристоф Лурделе","США, Япония",«Мечтать не вредно. Вредно не мечтать»,Null,Null,"Русский, Русский 5.1, Английский",Null,Null,"14 ноября 2021, ...",Null,Гарт Дженнингс,"23 декабря 2021, «UPI»",Null,Грегори Перлер,$162 790 990,"24 февраля 2022, «Universal»",3.7 млн,"мультфильм, мюзикл, комедия, приключения, семейный",Null,PG,"Джанет Хили, Дана Крупински, Кристофер Меледандри, ...",Джоби Тэлбот,Null,110 мин. / 01:50,6+,2021,Русские,Null,+ $244 672 166 = $407 463 156,$85 000 000,$18 574 005,"['Зверопой 2 (2021)', 'Sing 26+']"
129,Null,Алексей Балабанов,Россия,"«Это не Брат 3, это Война...»",Null,Null,Русский,Null,Сергей Астахов,"27 августа 2002, ...","Павел Пархоменко, Татьяна Патрахальцева",Алексей Балабанов,"14 марта 2002, «Интерсинема-Арт»",Null,Марина Липартия,Null,Null,3.5 тыс,"боевик, военный, история, драма","6 сентября 2007, «Союз-Видео»",R,"Сергей Сельянов, Ирина Павлова","Вячеслав Бутусов, Би-2",Null,120 мин. / 02:00,16+,2002,Нет,Null,$1 887,Null,$780 213,"['Война (2002)', '16+']"
130,Null,Серджио Леоне,"Италия, Испания, Германия (ФРГ)","«Для этих трех мужчин гражданская война - не ад, для них она - учебка!»",Null,Null,Null,Null,Тонино Делли Колли,"23 декабря 1966, ...",Карло Сими,"Адженоре Инкроччи, Фурио Скарпелли, Лучиано Винчензони, ...",Null,"5 июня 2014, «Двадцатый Век Фокс СНГ»","Эудженио Алабисо, Нино Баральи",$25 100 000,Null,6.3 млн,"приключения, вестерн","14 января 2002, «DVD Магия»",R,Альберто Гримальди,Эннио Морриконе,Null,178 мин. / 02:58,16+,1966,Null,Null,+ $18 063 = $25 118 063,$1 200 000,Null,"['Хороший, плохой, злой (1966)', 'Il buono, il brutto, il cattivo16+']"
131,Null,Александр Прошкин,СССР,—,Null,Null,Русский,Константин Стенькин,Борис Брожовский,"6 января 1988, ...","Валерий Филиппов, Наталья Александрова",Эдгар Дубровский,Null,Null,Елена Михайлова,Null,Null,41.8 млн,"драма, криминал, боевик, триллер","4 декабря 2003, «Ruscico»",Null,Null,Владимир Мартынов,Null,102 мин. / 01:42,16+,1987,Нет,Null,Null,Null,Null,"['Холодное лето пятьдесят третьего... (1987)', '16+']"
132,Null,Джо Райт,"Великобритания, Франция, США",«Sometimes the last person on earth you want to be with is the one person you can't be without»,Null,Null,"Русский, Русский 5.1, Английский",Null,Роман Осин,"25 июля 2005, ...","Сара Гринвуд, Иэн Бэйли, Ник Готтшалк, ...","Дебора Моггак, Джейн Остин, Эмма Томпсон","12 января 2006, «UIP»",Null,Пол Тотхилл,$38 405 088,Null,6 млн,"драма, мелодрама","23 июля 2012, «Новый Диск»",PG,"Тим Беван, Лиза Чейсин, Эрик Феллнер, ...",Дарио Марианелли,Null,129 мин. / 02:09,0+,2005,Русские,Null,+ $81 786 680 = $120 191 768,$28 000 000,$844 000,"['Гордость и предубеждение (2005)', 'Pride & Prejudice0+']"
133,Null,"Клайд Джероними, Уилфред Джексон, Хэмильтон Ласки, ...",США,«The most delightful characters in a dog's age!»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"16 июня 1955, ...",Null,"Джо Грант, Дик Хюмер, Луис Поллок, ...",Null,"7 февраля 2012, «Уолт Дисней Компани СНГ»",Дональд Холлидэй,$93 602 326,Null,55.7 млн,"мультфильм, мюзикл, мелодрама, комедия, приключения, семейный","12 марта 2003, «DVD Магия»",G,"Уолт Дисней, Эрдман Пеннер",Оливер Уоллес,Null,76 мин. / 01:16,0+,1955,"Русские, Английские",Null,Null,$4 000 000,Null,"['Леди и бродяга (1955)', 'Lady and the Tramp0+']"
134,Null,Питер Джексон,"Новая Зеландия, США",«Последнее путешествие в Средиземье»,Null,Null,"Русский, Английский",Null,Эндрю Лесни,"2 декабря 2014, ...","Дэн Хенна, Саймон Брайт, Энди МакЛарен, ...","Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...","11 декабря 2014, «Каро-Премьер»","26 марта 2015, «CP Дистрибуция»",Джабез Олссен,$255 119 788,Null,5.1 млн,"фэнтези, приключения, боевик","26 марта 2015, «CP Дистрибуция»",PG-13,"Кэролинн Каннингэм, Питер Джексон, Eric Monette, ...",Говард Шор,Null,144 мин. / 02:24,12+,2014,"Русские, Перевод надписей, Английские",Null,+ $700 900 000 = $956 019 788,$250 000 000,$30 917 224,"['Хоббит: Битва пяти воинств (2014)', 'The Hobbit: The Battle of the Five Armies12+']"
135,Null,Гарт Дэвис,"Австралия, Великобритания, США, Индия",«The search begins»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Грег Фрейзер,"10 сентября 2016, ...","Крис Кеннеди, Джени Паркер, Рави Шривастав, ...","Люк Дейвис, Сару Брайерли","16 февраля 2017, «Capella Film»","15 мая 2017, «НД Плэй»",Александр де Франчески,$51 738 905,"16 марта 2017, «Capella Film»",Null,"драма, биография","15 мая 2017, «НД Плэй»",PG-13,"Харви Вайнштейн, Эмиль Шерман, Эйн Каннинг, ...","Фолькер Бертельман, Дастин О’Хэллоран",Null,118 мин. / 01:58,16+,2016,Русские,Null,+ $88 574 023 = $140 312 928,$12 000 000,$331 850,"['Лев (2016)', 'Lion16+']"
136,Null,Крис Коламбус,"Германия, США",«One robot's 200 year journey to become an ordinary man»,Null,Null,"Русский, Английский",Null,Фил Мейхью,"13 декабря 1999, ...","Норман Рейнольдс, Уильям Хайни, Брутон Джонс, ...","Николас Казан, Айзек Азимов, Роберт Сильверберг","6 апреля 2000, «Каскад фильм»",Null,"Николас Де То, Нил Трэвис",$58 223 861,Null,11.2 млн,"фантастика, драма, комедия","27 июля 2000, «Columbia/Sony»",PG,"Майкл Барнатан, Крис Коламбус, Гэйл Кац, ...",Джеймс Хорнер,Null,126 мин. / 02:06,6+,1999,"Русские, Английские",Null,+ $29 200 000 = $87 423 861,$100 000 000,Null,"['Двухсотлетний человек (1999)', 'Bicentennial Man6+']"
137,Null,"Пит Доктер, Боб Питерсон",США,"«Когда проблемы тянут ко дну, смотри вверх!»",Null,Null,"Русский, Русский 5.1, Английский",Null,Null,"13 мая 2009, ...","Рики Ниерва, Даниэль Лопес Муньос","Пит Доктер, Боб Питерсон, Том Маккарти","28 мая 2009, «BVSPR Disney»","19 ноября 2009, «Уолт Дисней Компани СНГ»",Кевин Нолтинг,$293 004 164,Null,39.1 млн,"мультфильм, драма, комедия, приключения, семейный","19 ноября 2009, «Уолт Дисней Компани СНГ»",PG,"Джонас Ривера, Джон Лассетер, Кори Рэй, ...",Майкл Джаккино,Null,96 мин. / 01:36,0+,2009,"Русские, Английские",Null,+ $442 094 918 = $735 099 082,$175 000 000,$11 997 927,"['Вверх (2009)', 'Up0+']"
138,Null,"Клайд Джероними, Хэмильтон Ласки, Вольфганг Райтерман",США,«One great big ONEderful motion picture»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"25 января 1961, ...",Кен Андерсон,"Билл Пит, Доди Смит",Null,"9 апреля 2013, «Уолт Дисней Компани СНГ»","Рой М. Брюэр мл., Дональд Холлидэй",$14 000 000,Null,99.9 млн,"мультфильм, семейный, приключения","18 декабря 2008, «Мьюзик-Трейд»",G,Уолт Дисней,Джордж Брунс,Null,79 мин. / 01:19,0+,1961,"Русские, Английские",Null,+ $71 000 000 = $85 000 000,$4 000 000,Null,"['101 далматинец (1961)', 'One Hundred and One Dalmatians0+']"
139,Null,Леонид Гайдай,СССР,«Amerika Be Seated!»,Null,Null,Русский,"Аркадий Ашкинази, А. Бут","Сергей Полуянов, Валерий Шувалов","21 июня 1971, ...","Евгений Куманьков, К. Савицкий","Владлен Бахнов, Леонид Гайдай, Илья Ильф, ...",Null,Null,Клавдия Алеева,Null,Null,39.3 млн,"комедия, приключения, криминал","18 февраля 2010, «Lizard Cinema Trade»",PG-13,Null,Александр Зацепин,Null,153 мин. / 02:33,6+,1971,Нет,Null,Null,Null,Null,"['12 стульев (1971)', '6+']"
140,Null,Вольфганг Райтерман,США,«A purr-fectly wonderful new cartoon feature»,Null,Null,"Русский, Английский",Null,Null,"11 декабря 1970, ...",Кен Андерсон,"Ларри Клеммонс, Вэнс Джерри, Кен Андерсон, ...",Null,"19 марта 2013, «Уолт Дисней Компани СНГ»",Том Акоста,$18 000 000,Null,12.5 млн,"мультфильм, мюзикл, комедия, приключения, семейный","18 декабря 2008, «Мьюзик-Трейд»",G,"Уинстон Хиблер, Вольфганг Райтерман, Harry Tytle",Джордж Брунс,Null,78 мин. / 01:18,6+,1970,Русские,Null,Null,$4 000 000,Null,"['Коты-аристократы (1970)', 'The AristoCats6+']"
141,Null,Клинт Иствуд,США,"«Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love»",Null,Null,"Русский, Английский, Английский 5.1",Null,Том Стерн,"5 декабря 2004, ...","Генри Бамстед, Джек Дж. Тейлор мл., Дебора Хоппер, ...","Пол Хаггис, Ф. Кс. Тул","10 марта 2005, «Гемини Киномир»",Null,Джоэл Кокс,$100 492 203,Null,15.7 млн,"драма, спорт","7 апреля 2005, «Союз-Видео»",PG-13,"Клинт Иствуд, Пол Хаггис, Роберт Лоренц, ...",Клинт Иствуд,Null,132 мин. / 02:12,12+,2004,Русские,Null,+ $116 271 443 = $216 763 646,$30 000 000,$365 000,"['Малышка на миллион (2004)', 'Million Dollar Baby12+']"
142,Null,"Боб Персичетти, Питер Рэмзи, Родни Ротман",США,«Enter a universe where more than one wears the mask»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"6 декабря 2018, ...","Джастин Томпсон, Дин Гордон, Патрик О’Кифи","Родни Ротман, Фил Лорд","13 декабря 2018, «WDSSPR»",Null,Роберт Фишер мл.,$190 241 310,"11 марта 2019, «Sony Pictures Home Entertainment»",Null,"мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный",Null,PG,"Уилл Аллегра, Ави Арад, Брайан Бендис, ...",Дэниэл Пембертон,Null,117 мин. / 01:57,6+,2018,"Русские, Перевод надписей, Английские",Null,+ $185 299 521 = $375 540 831,$90 000 000,$6 298 173,"['Человек-паук: Через вселенные (2018)', 'Spider-Man: Into the Spider-Verse6+']"
143,Null,"Дин ДеБлуа, Крис Сандерс",США,«He's coming to our galaxy»,$40 000 000,Null,"Русский, Английский",Null,Null,"16 июня 2002, ...","Пол А. Феликс, Рик Слуйтер","Крис Сандерс, Дин ДеБлуа","26 декабря 2002, «Каскад фильм»","11 июня 2013, «Уолт Дисней Компани СНГ»",Даррен Т. Холмс,$145 794 338,Null,25.1 млн,"мультфильм, фантастика, фэнтези, драма, комедия, приключения, семейный","3 августа 2009, «CP-Digital»",PG,"Кларк Спенсер, Лиза М. Пул",Алан Сильвестри,Null,85 мин. / 01:25,0+,2002,"Русские, Английские",Null,+ $127 349 813 = $273 144 151,$80 000 000,Null,"['Лило и Стич (2002)', 'Lilo & Stitch0+']"
144,Null,"Дон Блут, Гари Голдман",США,«Discover the Adventure Behind the Greatest Mystery of Our Time»,Null,Null,"Русский, Английский",Null,Null,"14 ноября 1997, ...",Майкл Перраса мл.,"Сьюзэн Готье, Брюс Грэхэм, Боб Цудикер, ...","13 марта 1998, «Гемини Киномир»","7 апреля 2011, «Двадцатый Век Фокс СНГ»","Боб Бендер, Фиона Трэйлер",$58 406 347,Null,12.5 млн,"мультфильм, мюзикл, фэнтези, драма, приключения, семейный","15 июня 2004, «Гемини-Фильм»",G,"Дон Блут, Гари Голдман, Морин Донли, ...",Дэвид Ньюман,Null,94 мин. / 01:34,6+,1997,"Русские, Английские",Null,+ $81 398 001 = $139 804 348,$53 000 000,Null,"['Анастасия (1997)', 'Anastasia6+']"
145,Null,Станислав Ростоцкий,СССР,—,Null,Null,Русский,Яков Сапожников,Вячеслав Шумский,"15 сентября 1977, ...","Сергей Серебренников, Эльза Рапопорт","Станислав Ростоцкий, Гавриил Троепольский",Null,Null,Валентина Миронова,Null,Null,23.1 млн,драма,"7 июня 2005, «Ruscico»",PG,Null,Андрей Петров,Null,183 мин. / 03:03,6+,1976,Нет,Null,Null,Null,Null,"['Белый Бим Черное ухо (1976)', '6+']"
146,Null,"Гари Труздейл, Кирк Уайз",США,«The most beautiful love story ever told as it has never been seen before»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"29 сентября 1991, ...","Ральф Эгглстон, Эдвард Л. Джертнер, Брайан МакЭнти","Линда Вулвертон, Габриэль-Сюзанна Барбо де Вильнев, Бренда Чепмен, ...","6 декабря 2012, «WDSSPR»","1 мая 2012, «Уолт Дисней Компани СНГ»","Джон Карнокэн, Эллен Кенеши, Билл Вилнер",$145 863 363,Null,45.4 млн,"мультфильм, мюзикл, фэнтези, мелодрама, семейный","11 февраля 2010, «Уолт Дисней Компани СНГ»",G,"Дон Хан, Ховард Эшман, Джон Лассетер, ...",Алан Менкен,Null,84 мин. / 01:24,6+,1991,"Русские, Английские",Null,+ $186 043 788 = $331 907 151,$25 000 000,$1 394 549,"['Красавица и чудовище (1991)', 'Beauty and the Beast6+']"
147,Null,Михаил Козаков,СССР,—,Null,Null,Русский,Сергей Вульман,Николай Немоляев,"11 февраля 1983, ...","Людмила Кусакова, Алина Будникова",Леонид Зорин,"8 сентября 2022, «МВК»","16 апреля 2013, «Lizard Cinema Trade»",Ирма Цекавая,Null,Null,1.4 тыс,"мюзикл, драма, мелодрама, комедия","18 сентября 2008, «Азимут»",Null,Null,Георгий Гаранян,Null,140 мин. / 02:20,0+,1982,Нет,Null,$8 101,Null,$8 114,"['Покровские ворота (ТВ, 1982)', '0+']"
148,Null,"Рон Клементс, Джон Маскер",США,«Love has no boundaries»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"13 ноября 1989, ...","Ларри Лекер, Майкл Перраса мл., Дональд Таунз","Джон Маскер, Рон Клементс, Ханс Кристиан Андерсен, ...","26 сентября 2013, «WDSSPR»","8 октября 2013, «Уолт Дисней Компани СНГ»",Марк А. Хестер,$84 355 863,Null,26.5 млн,"мультфильм, мюзикл, фэнтези, мелодрама, комедия, приключения, семейный","8 октября 2013, «Уолт Дисней Компани СНГ»",G,"Ховард Эшман, Джон Маскер, Морин Донли",Алан Менкен,Null,83 мин. / 01:23,6+,1989,"Русские, Английские",Null,+ $99 800 000 = $184 155 863,$40 000 000,Null,"['Русалочка (1989)', 'The Little Mermaid6+']"
149,Null,Дин ДеБлуа,США,—,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Джил Циммерман,"16 мая 2014, ...","Пьер-Оливье Винсент, Майкл Неччи, Чжаопин Вэй","Дин ДеБлуа, Крессида Коуэлл","12 июня 2014, «Двадцатый Век Фокс СНГ»","1 ноября 2014, «Двадцатый Век Фокс СНГ»",Джон К. Карр,$177 002 924,Null,529.4 тыс,"мультфильм, фэнтези, комедия, приключения, семейный","1 ноября 2014, «Двадцатый Век Фокс СНГ»",PG,"Бонни Арнольд, Майкл А. Коннолли, Даг Дэвисон, ...",Джон Пауэлл,Null,105 мин. / 01:45,0+,2014,Русские,Null,+ $444 534 595 = $621 537 519,$145 000 000,$30 015 773,"['Как приручить дракона 2 (2014)', 'How to Train Your Dragon 20+']"
150,Null,Дэвид Финчер,США,«Вы готовы играть?»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Харрис Савидис,"3 сентября 1997, ...","Джеффри Бикрофт, Джеймс Дж. Мураками, Стив Сэклад, ...","Джон Бренкето, Майкл Феррис","24 января 1998, «Союз»","17 августа 2010, «Юниверсал Пикчерс Рус»",Джеймс Хэйгуд,$48 323 648,Null,10.5 млн,"триллер, драма, детектив, приключения","1 июня 1998, «AMALGAMA»",R,"Сиан Чаффин, Стив Голин, Джон Бренкето, ...",Говард Шор,Null,129 мин. / 02:09,16+,1997,Русские,Null,+ $61 100 000 = $109 423 648,$50 000 000,$53 925,"['Игра (1997)', 'The Game16+']"
151,Null,Михаил Пташук,"Россия, Беларусь",—,Null,Null,Русский,Null,Владимир Спорышков,"4 мая 2002, ...","Александр Чертович, Владимир Дементьев",Владимир Богомолов,17 января 2001,Null,Наталья Кучеренко,Null,Null,Null,"боевик, триллер, драма, детектив, военный","10 апреля 2012, «Азимут»",Null,"Ольга Семаго, Владимир Семаго, Константин Эрнст, ...",Александр Градский,Null,118 мин. / 01:58,16+,2001,Нет,Null,Null,$5 052 780,$101 376,"['В августе 44-го (2001)', '16+']"
152,Null,Игорь Масленников,СССР,—,Null,Null,Русский,Григорий Прусовский,"Анатолий Лапшов, Юрий Векслер",Null,"Марк Каплан, Нелли Лев, В. Сергеев","Владимир Валуцкий, Артур Конан Дойл",Null,Null,Людмила Образумова,Null,Null,Null,"криминал, детектив",Null,Null,Null,Владимир Дашкевич,Null,65 мин. / 01:05,6+,1980,Нет,Null,Null,Null,Null,"['Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра (ТВ, 1980)', '6+']"
153,Null,Джозеф Косински,США,"«It's Not What Stands In Front Of You, It's Who Stands Beside You»",Null,Null,Русский,Null,Клаудио Миранда,"18 октября 2017, ...","Кевин Кэвэно, Мариса Франц, Дэвид Мейер, ...","Кен Нолан, Эрик Уоррен Сингер, Шон Флинн","9 ноября 2017, «Централ Партнершип»",Null,Билли Фокс,$18 343 983,"16 февраля 2018, «Централ Партнершип»",Null,"боевик, драма, биография",Null,PG-13,"Лоренцо Ди Бонавентура, Брюс Франклин, Эрик Хаусэм, ...",Джозеф Трапанезе,Null,134 мин. / 02:14,16+,2017,Нет,Null,+ $8 007 339 = $26 351 322,$38 000 000,$248 714,"['Дело храбрых (2017)', 'Only the Brave16+']"
154,Null,Майк Ньюэлл,"Великобритания, США",«Впереди темные и страшные времена»,Null,Null,"Русский, Русский 5.1, Английский",Null,Роджер Прэтт,"6 ноября 2005, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...","Стивен Кловз, Дж.К. Роулинг","22 декабря 2005, «Каро-Премьер»","23 декабря 2008, «Юниверсал Пикчерс Рус»",Мик Одсли,$290 013 036,Null,45.2 млн,"фэнтези, приключения, семейный","11 апреля 2006, «Юниверсал Пикчерс Рус»",PG-13,"Дэвид Хейман, Дэвид Баррон, Крис Каррерас, ...",Патрик Дойл,Null,157 мин. / 02:37,16+,2005,Русские,Null,+ $605 908 000 = $895 921 036,$150 000 000,$7 837 694,"['Гарри Поттер и Кубок огня (2005)', 'Harry Potter and the Goblet of Fire16+']"
155,Null,Дэвид Финчер,США,«Он возомнил себя Богом и начал карать...»,Null,Null,Null,Null,Дариус Хонджи,"15 сентября 1995, ...","Артур Макс, Гари Уисснер, Майкл Каплан, ...",Эндрю Кевин Уокер,Null,Null,Ричард Фрэнсис-Брюс,$100 125 643,Null,23 млн,"триллер, драма, криминал, детектив","25 сентября 2008, «CP-Digital»",R,"Стивен Браун, Филлис Карлайл, Уильям С. Геррити, ...",Говард Шор,Null,127 мин. / 02:07,18+,1995,Null,Null,+ $227 186 216 = $327 311 859,$33 000 000,Null,"['Семь (1995)', 'Se7en18+']"
156,Null,Джон Фавро,"США, Канада",«Героями не рождаются. Героями становятся»,$75 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Мэттью Либатик,"14 апреля 2008, ...","Дж. Майкл Рива, Лиз Карни, Дэвид Ф. Классен, ...","Марк Фергус, Хоук Остби, Артур Маркам, ...","1 мая 2008, «UPI»","14 апреля 2009, «Юниверсал Пикчерс Рус»",Дэн Лебентал,$318 604 126,Null,44.3 млн,"фантастика, боевик, приключения","30 сентября 2008, «Юниверсал Пикчерс Рус»",PG-13,"Ави Арад, Кевин Файги, Виктория Алонсо, ...",Рамин Джавади,Null,121 мин. / 02:01,12+,2008,"Английские, Русские",Null,+ $266 762 121 = $585 366 247,$140 000 000,$9 491 200,"['Железный человек (2008)', 'Iron Man12+']"
157,Null,Андрей Смирнов,СССР,—,Null,Null,Русский,Алексей Стефанский,Павел Лебешев,"30 апреля 1971, ...",Владимир Коровин,Вадим Трунин,Null,Null,Валерия Белова,Null,Null,28.3 млн,драма,"2 октября 2008, «Lizard Cinema Trade»",Null,Null,"Булат Окуджава, Альфред Шнитке",Null,95 мин. / 01:35,12+,1970,Нет,Null,Null,Null,Null,"['Белорусский вокзал (1970)', '12+']"
158,Null,"Стефани Обье, Венсан Патар, Бенжамин Реннер","Франция, Бельгия, Люксембург","«Кажется, это начало прекрасной дружбы»",Null,Null,"Русский, Французский",Null,Null,"23 мая 2012, ...","Заза, Зик, Ив Ле Пейе","Даниэль Пеннак, Габриэль Венсан","28 марта 2013, «Вольга»",Null,Фабьен Альварез-Жиро,$262 075,Null,884.2 тыс,"мультфильм, фэнтези, драма, комедия, криминал, приключения, семейный","23 апреля 2013, «Вольга»",PG,"Дидье Брюннер, Анри Магалон, Стефан Роэлантс, ...",Венсан Куртуа,Null,80 мин. / 01:20,0+,2012,Русские,Null,+ $7 908 258 = $8 170 333,€9 600 000,$99 819,"['Эрнест и Селестина: Приключения мышки и медведя (2012)', 'Ernest et Célestine0+']"
159,Null,Георгий Данелия,СССР,—,Null,Null,Русский,Николай Гаро,Павел Лебешев,"1 декабря 1986, ...","Александр Самулекин, Теодор Тэжик","Георгий Данелия, Реваз Габриадзе",Null,"3 сентября 2013, «Lizard Cinema Trade»",Наталья Добрунова,Null,Null,15.7 млн,"фантастика, драма, комедия","11 января 2011, «Парадиз»",PG-13,Null,Гия Канчели,Null,135 мин. / 02:15,12+,1986,Нет,Null,$10 096,Null,$10 223,"['Кин-дза-дза! (1986)', '12+']"
160,Null,Генри Селик,США,«A ghoulish tale with wicked humour & stunning animation»,Null,Null,"Русский (ТНТ), Русский (НТВ+), Русский 5.1 (НТВ+), Английский, Английский 5.1",Null,Пит Козачик,"9 октября 1993, ...","Ральф Эгглстон, Дин Тейлор","Кэролайн Томпсон, Тим Бёртон, Майкл Макдауэлл",Null,Null,Стэн Уэбб,$50 003 043,"10 сентября 2019, «Уолт Дисней Компани СНГ»",15.8 млн,"мультфильм, мюзикл, фэнтези, семейный",Null,PG,"Тим Бёртон, Дениз Ди Нови, Дэнни Элфман, ...",Дэнни Элфман,Null,76 мин. / 01:16,12+,1993,"Русские, Русские (форсированные), Английские",Null,Null,$18 000 000,Null,"['Кошмар перед Рождеством (1993)', 'The Nightmare Before Christmas12+']"
161,Null,Тони Кэй,США,«Преступление и наказание»,Null,Null,Null,Null,Тони Кэй,"1 июля 1998, ...","Джон Гари Стил, Филл Загаевский, Дж. Кайлер Блэк, ...",Дэвид МакКенна,"22 июля 1999, «West»",Null,"Джералд Б. Гринберг, Алан Хайм",$6 719 864,Null,1.3 млн,драма,"14 ноября 2002, «West Video»",R,"Билл Карраро, Майкл Де Лука, Джон Хесс, ...",Энн Дадли,Null,119 мин. / 01:59,16+,1998,Null,Null,+ $17 155 263 = $23 875 127,$20 000 000,Null,"['Американская история X (1998)', 'American History X16+']"
162,Null,Элем Климов,СССР,—,Null,Null,Русский,Григорий Лукин,"Анатолий Кузнецов, Михаил Коропцов","9 октября 1964, ...","Борис Бланк, Владимир Камский, Людмила Ряшенцева","Семен Лунгин, Илья Нусинов",Null,"21 мая 2013, «Lizard Cinema Trade»",Александра Камагорова,Null,Null,13.4 млн,"комедия, семейный","11 января 2011, «Парадиз»",Null,Null,"Микаэл Таривердиев, Игорь Якушенко",Null,71 мин. / 01:11,6+,1964,Нет,Null,$6 550,Null,$6 510,"['Добро пожаловать, или Посторонним вход воспрещен (1964)', '6+']"
